ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1406,1405,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
1407,1406,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
1408,1407,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1409,1408,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1410,1409,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1411,1410,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1412,1411,T,86,A,R,"8 2 QUEENS BLVD, 4",32-02 Queens Blvd.,4,32-02 Queens Blvd.,40.744679,-73.933371,32-02 Queens Blvd.,"32-02 Queens Blvd, Long Island City, NY 11101",Bing Maps,address
1413,1412,T,86,A,R,"8 2 QUEENS BLVD, 4",32-02 Queens Blvd.,4,32-02 Queens Blvd.,40.744679,-73.933371,32-02 Queens Blvd.,"32-02 Queens Blvd, Long Island City, NY 11101",Bing Maps,address
1414,1413,T,86,A,R,"8 2 QUEENS BLVD, 4",32-02 Queens Blvd.,4,32-02 Queens Blvd.,40.744679,-73.933371,32-02 Queens Blvd.,"32-02 Queens Blvd, Long Island City, NY 11101",Bing Maps,address
1415,1414,T,86,A,R,"8 2 QUEENS BLVD, 4",32-02 Queens Blvd.,4,32-02 Queens Blvd.,40.744679,-73.933371,32-02 Queens Blvd.,"32-02 Queens Blvd, Long Island City, NY 11101",Bing Maps,address
1416,1415,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
1417,1416,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
1418,1417,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
